energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.921,0.0546,110.005,0.0419,0.159,0.0,0.852,186541,-5.164,0.63,This My Club (DJ Lil Prince Remix),Prophit,https://open.spotify.com/track/77wSM48dw3GQY7ylaJB3GH,1rfgs4royNOYxw269vuTTT,Angry
0.899,0.313,175.937,0.0491,0.000811,0.0,0.391,209667,-4.105,0.539,War,Sum 41,https://open.spotify.com/track/2JNBea8tDU4sNMFJAOpaCu,4lUHxbFilSwlkl52me8x1W,Angry
0.886,0.26,126.025,0.0837,0.00045,0.0,0.603,229933,-3.777,0.395,Feel Invincible,Skillet,https://open.spotify.com/track/3vMtLNMANvkPuDthcLuQzJ,0i8JFpqe9cKwnrcvoNgl1L,Angry
0.868,0.512,164.075,0.0441,0.00157,0.0,0.556,224213,-5.741,0.433,Straight Out the Gate: (The Scott Stevens Remix) - Bonus Track,Tech N9ne Collabos,https://open.spotify.com/track/1g5Jqwo02PuitYfv19B6Jn,2mumY7rLurSxmnWIC1PCtc,Angry
0.811,0.0677,123.048,0.0431,0.00105,2.08e-06,0.71,199200,-4.079,0.914,Fallen Leaves,Billy Talent,https://open.spotify.com/track/3zmduBNsQ6BPDTZAkXzG5K,3jUTjCISntIUFL8jnAjzgc,Angry
0.937,0.606,164.032,0.161,0.000209,3.61e-06,0.452,209598,-3.346,0.604,1x1 (feat. Nova Twins),Bring Me The Horizon,https://open.spotify.com/track/0wCT2ivXYnHssIDf2n3LV6,6sIbv1oWOuma2qV907MUbk,Angry
0.951,0.14,99.116,0.0498,0.00058,0.00165,0.536,205333,-4.126,0.491,Blow Me Away,Breaking Benjamin,https://open.spotify.com/track/0v3UwgJhdNCaEIMyuaoqyt,0V5lmry5Citfw2drBNpEMy,Angry
0.816,0.116,119.946,0.0402,0.000567,2.27e-05,0.592,245052,-5.962,0.18,The Dissonance,Common Vision,https://open.spotify.com/track/2siqSsVoviIIkwb9D4A9wj,56EFGZgAABYSF9kzPtlKja,Angry
0.954,0.205,114.635,0.264,0.529,0.0,0.855,248133,-1.19,0.668,Not Afraid,Eminem,https://open.spotify.com/track/5c3fIHmLHmL4iaqUuqBPHo,7Ie9W94M7OjPoZVV216Xus,Angry
0.953,0.281,172.063,0.0704,0.0106,0.0,0.445,225280,-2.463,0.475,Not Gonna Die,Skillet,https://open.spotify.com/track/5aZceoAnPoEdxwFaim3jqf,2jfk3m8nq5IvB35s2xIs1O,Angry
0.859,0.387,170.527,0.0595,0.00201,0.194,0.15,228147,-2.827,0.354,Can You Feel My Heart,Bring Me The Horizon,https://open.spotify.com/track/5nxcR7W60CU3cvmGX1jBzQ,0WSa1sucoNRcEeULlZVQXj,Angry
0.898,0.15,102.513,0.134,0.0049,0.0,0.537,198365,-1.819,0.575,Lets Get This Started Again,Live My Last,https://open.spotify.com/track/1bKRtH1leT7y003VikaXUc,4ofZe3eFWlNKC0FYEFOSvG,Angry
0.933,0.37,96.624,0.057,4.72e-06,0.00043,0.456,209840,-3.386,0.568,Plagued,We Came As Romans,https://open.spotify.com/track/0KFzRf6TuI1AqE9xdQep21,6xC8tcFBMMjJIyfPw66lDF,Angry
0.981,0.411,104.471,0.124,0.000593,3.66e-06,0.523,229773,-3.865,0.449,Wake Me Up,zebrahead,https://open.spotify.com/track/0sdeLSxygcjyMyWPhZBdFs,3mSZz9k6TzRpin74YEipgV,Angry
0.973,0.47,96.047,0.144,8.98e-06,2.1e-06,0.406,202591,-2.558,0.504,Bleed Me Dry,Memphis May Fire,https://open.spotify.com/track/1ED1SD4TRK5NprtJ837Eaa,5bENuUfvW1oOEmh2zvyowI,Angry
0.936,0.262,120.004,0.167,0.206,0.0,0.884,236501,-3.931,0.758,Isis (feat. Logic),Joyner Lucas,https://open.spotify.com/track/1ladUBaxXxpJyPxO5Rp7BG,4h7qcXBtaOJnmrapxoWxGf,Angry
0.975,0.3,102.99,0.078,0.000404,1.77e-06,0.526,196893,-3.853,0.427,Cage The Beast,Adelitas Way,https://open.spotify.com/track/1nxbn0COjeyH7MQZ27T3CR,5MY50Gj2K5g3P9vSqYtN0J,Angry
0.862,0.148,87.48,0.034,0.00207,1.12e-05,0.686,187654,-3.426,0.472,Whatever It Takes,Hollywood Undead,https://open.spotify.com/track/4ptzVhD7TWh4aBkhWEzz0o,2ouOVzQTzSsLa2OH1Zxhvu,Angry
0.86,0.0711,105.97,0.0398,9.23e-05,3.27e-05,0.456,203560,-6.286,0.552,Never Back Down,Nine Lashes,https://open.spotify.com/track/5HDG2PPLki6wowJvZbAH9d,29ya9pu2noGMhtXeUFQbvC,Angry
0.847,0.0816,171.447,0.186,0.0622,0.0,0.548,297787,-3.237,0.1,Till I Collapse,Eminem,https://open.spotify.com/track/2c5Isyd07hWsl7AQia2Dig,4xkOaSrkexMciUUogZKVTS,Angry
0.928,0.177,185.104,0.0724,0.036,0.0,0.342,178373,-3.569,0.283,From the Inside,Hollow Point Heroes,https://open.spotify.com/track/7zBQRGpYImAdIZc97FNj3V,3OZ0YmANXXnladoGzqAml2,Angry
0.881,0.267,74.965,0.171,0.549,0.0,0.633,176488,-3.526,0.571,"Clear Eyes, Full Heart, Can't Lose",T. Powell,https://open.spotify.com/track/0jqK7sGTLsHPkQrrcrGuKD,7qK3sX9MNReAgUQ6jdTAWC,Angry
0.962,0.065,164.032,0.0831,0.00901,0.0,0.452,208827,-3.063,0.566,I Want to Live,Skillet,https://open.spotify.com/track/5g8x8dZdNGEnxjZA1OWCLI,4Ahphc0UzRSoMpJRHgnGQK,Angry
0.864,0.0759,150.235,0.203,0.0262,0.0,0.694,129619,-7.086,0.783,Major,Tundra,https://open.spotify.com/track/0UOtF2ojhKGYEjvZ28ZA6d,7C5fXeNRyC1CDOG6TULFTW,Angry
0.789,0.619,91.189,0.275,0.16,0.0,0.593,285453,-4.48,0.58,Welcome 2 Detroit,Trick Trick,https://open.spotify.com/track/3RQHAFkEHiFHQ7qmMpKRdv,79t5idiRhbDB1oLaVcTVsD,Angry
