energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.647,0.154,160.987,0.0569,0.00165,0.806,0.577,70771,-7.647,0.236,At Doom's Gate,Mick Gordon,https://open.spotify.com/track/6jRq8gaZhMUyy5RclRPcAf,2UKgx2oba7CltHLACr3xdT,Angry
0.604,0.492,146.074,0.245,0.102,0.274,0.759,107893,-10.655,0.961,Kill Again,spilos,https://open.spotify.com/track/78a9bwYKsIGq0aha8rPaX9,5Evt00Prfxl6aYfszlFFjT,Angry
0.876,0.129,135.982,0.0367,0.00191,0.0,0.643,155294,-3.205,0.317,Wat U Want 2,flvmey,https://open.spotify.com/track/4Mqfhqtb5WmondLWYsCCrz,5Nvf3Dma0txqn4t6QkzBKg,Angry
0.575,0.114,136.962,0.0589,0.173,0.000242,0.821,159401,-6.57,0.611,exes,Tate McRae,https://open.spotify.com/track/1N8TTK1Uoy7UvQNUazfUt5,4E63weMCaNZuGPEFMnuEi8,Angry
0.911,0.643,120.016,0.0288,0.0635,0.0,0.605,164000,-4.635,0.275,End of the World,FORGOTTENAGE,https://open.spotify.com/track/0M955bMOoilikPXwKLYpoi,0rRJNSrFPmOPZJRmdQbciH,Angry
0.902,0.35,200.06,0.0716,0.000844,0.8,0.574,191988,-4.046,0.174,Belladonna,Gold Geisha,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ,2D20RgZ2TfdyPqTOkRozAu,Angry
0.686,0.365,105.219,0.0478,0.000424,0.0023,0.695,93447,-8.147,0.354,Floor 555,XXXTENTACION,https://open.spotify.com/track/4BLbZo3DCqQXMzogWV1GNP,6r7ULK6c5CLVvImjTIztl1,Angry
0.997,0.317,112.998,0.0695,0.000239,0.441,0.581,152926,-3.076,0.0381,OneShot,msht,https://open.spotify.com/track/3CIyK1V4JEJkg02E4EJnDl,65YPiyiBBGQgqjiSG8jkvM,Angry
0.49,0.289,119.882,0.037,0.00184,0.849,0.49,116014,-11.054,0.126,1mmortal,Cash!*,https://open.spotify.com/track/3yMrcqveZ2DrWBYJbDsous,2Kh1bNimYKyUI5KQsVTQuE,Angry
0.903,0.169,139.98,0.21,0.258,0.0,0.785,193234,-4.184,0.565,Sky,Playboi Carti,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE,29TPjc8wxfz4XMn21O7VsZ,Angry
0.629,0.375,133.636,0.0448,0.516,0.762,0.465,46779,-6.754,0.682,He's Back,Dj Panda Boladao,https://open.spotify.com/track/70FceppUZq9dQz1mDPcHcs,18gbG6lZMZX4dc3PpUWJd1,Angry
0.831,0.137,176.246,0.389,0.1,0.807,0.562,135141,-3.548,0.7,SONIC.EXE - ULTRA SLOWED,dawnicy,https://open.spotify.com/track/0Tr5G2mE56eLUGvCaXRM8I,2CJ8RSLXDM96LeMua7uXP6,Angry
0.3,0.175,84.948,0.134,0.483,0.751,0.715,284096,-13.37,0.15,I Came I Saw I Conquered,FLXMINGO,https://open.spotify.com/track/3BcEpBfEx2mOyCSJWIHSvu,5VFCsJKF3oxG5tMW9O5Bpn,Angry
0.723,0.232,107.933,0.274,0.154,0.188,0.83,133464,-6.75,0.0862,Bate Forte e Dança - Slowed and Reverb,0to8,https://open.spotify.com/track/12Ypr3PCVJ2i7Uwz93q1Vl,4qXsEd0WVciP1Tj4ZI7LER,Angry
0.983,0.478,108.058,0.179,0.351,0.244,0.711,137934,-4.952,0.252,BRAZILIAN DANÇA PHONK - Slowed + Reverb,6YNTHMANE,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf,10JOwVmIkaBv5cwJp8iEm7,Angry
0.891,0.316,103.198,0.0429,0.264,0.723,0.824,95365,-4.65,0.464,TUCA DONKA (Super Slowed),CURSEDEVIL,https://open.spotify.com/track/7j2lHwCfEhmqX34QIcAckx,3B7FSAkKaoke9ul1nL4iFo,Angry
0.935,0.379,102.449,0.0299,0.0106,0.341,0.755,118962,-2.323,0.264,Life in Rio - Super Slowed,Slowboy,https://open.spotify.com/track/2gyxAWHebV7xPYVxqoi86f,5PyS2dcewVZVoHlog0hYg0,Angry
0.889,0.613,76.0,0.0651,0.0744,0.961,0.537,222865,-14.559,0.955,NEON BLADE - Slow And Reverb,Jeck best,https://open.spotify.com/track/0oUmiDcH2jBUEgiSnob5JW,0DsSpCyExUJCdisaPhmnMi,Angry
0.886,0.527,108.421,0.0435,0.0032,0.899,0.778,116622,-4.074,0.0846,Mexican Phonk Eki - Slowed + Reverb,NUEKI,https://open.spotify.com/track/2XynYulas10Wmef4Gqrxw9,6oj2U0x3REzmonh6B7EcQ7,Angry
0.955,0.116,103.611,0.283,0.22,0.001,0.696,125058,-0.903,0.361,MANDA BALA (Super Slowed),Ariis,https://open.spotify.com/track/1Ll2L0m2QznnoJI9xRN5MP,56wtI8kF1bjQVqgKaeFbdx,Angry
0.976,0.0852,103.982,0.105,0.341,0.479,0.662,149722,-1.932,0.409,Orquestra Maldita - Slowed+reverb,TRASHXRL,https://open.spotify.com/track/2tKhmLk0vDv5Gwe1aQd7Ix,48mYl3ufmLcmOoCrnFqFZ4,Angry
0.885,0.0967,149.804,0.102,0.367,0.0738,0.447,169175,-0.763,0.592,Beat Distorce Pancada Insigne (Slowed),Mc Gw,https://open.spotify.com/track/6p49tiDlXi6m9BD20P0z05,50JJVR6r4z5uuAGLtsKyvt,Angry
0.975,0.327,92.873,0.0996,0.0421,0.000895,0.644,145416,1.319,0.298,ultraphunk - Super Slowed,dashie,https://open.spotify.com/track/3XOmSRuEEq7rK4XNzWQdyT,3bPxwh2nck6d43YPDiNWyp,Angry
0.893,0.215,104.054,0.0971,0.405,0.0468,0.807,149041,-1.851,0.531,Sequência da Dz7 - Slowed+reverb,TRASHXRL,https://open.spotify.com/track/5zsHmE2gO3RefVsPyw2e3T,4cSYBz71h3NUtYYULiAeu2,Angry
0.631,0.104,88.502,0.051,0.0799,0.838,0.748,143769,-10.057,0.0799,Close Eyes - Slowed + Reverb,DVRST,https://open.spotify.com/track/6tO5bxNnMuh1c3cziSpecA,5RE3w3M9g5vsotdIVtLONq,Angry
0.623,0.106,106.929,0.112,0.821,0.646,0.442,118043,-11.53,0.117,Rave Madara 2,Indi Music,https://open.spotify.com/track/7uax1a1G4cg1GgokfakTnN,33Pnd7luVvcDfBaUmoBRI7,Angry
